asof,geo,cpi_index,spx_close,spx_ret_1m,cpi_mom,cpi_yoy
2000-01-01,Algeria,70.444767,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Norway,3.085506,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Peru,3.758542074,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Chile,3.8432735,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Philippines,6.560566,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Poland,10.059815,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Portugal,2.85303,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Canada,81.890384,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Romania,45.776167,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Bulgaria,56.101263,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Saudi Arabia,76.687414,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Serbia,71.15177804,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Brazil,52.53158273,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,China,80.986701,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Singapore,85.157947,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Slovenia,66.528342,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Belgium,81.421804,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,South Africa,56.207917,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Spain,3.433517,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Austria,2.362692,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Sweden,86.226296,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Switzerland,1.558466,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Australia,4.457435,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Thailand,77.371794,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Türkiye,19.99248498,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Argentina,40.19201913,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,United Arab Emirates,58.841275,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Slovakia,65.396359,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,United Kingdom,0.797319,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,North Macedonia,80.231686,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Colombia,58.2157,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,France,1.67596,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Greece,72.203438,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Hong Kong SAR,95.832395,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Hungary,57.854236,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Finland,3.35724,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Iceland,5.155775,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,India,6.232835,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Euro area,81.652977,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Indonesia,43.439512,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Ireland,78.359572,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Estonia,66.451705,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Israel,1.124526,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,New Zealand,2.615212,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Italy,2.538678,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Japan,-0.68901,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Korea,2.259166,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Czechia,77.817608,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Latvia,59.172654,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Lithuania,0.981615,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Luxembourg,80.051635,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
2000-01-01,Cyprus,77.364936,1394.4599609375,-0.7278406818358771,-0.8503360041061531,-0.0075738577854135
